# Continuous evolution trace log
global_time,t,p,v,a
25.985270,0.707770,337.617128,25.985270,1.000000
26.086380,0.808880,340.249611,26.086380,1.000000
26.187490,0.909990,342.892316,26.187490,1.000000
26.288600,1.011100,345.545245,26.288600,1.000000
global_time,t,p,v,a
26.288600,0.000000,345.545245,26.288600,1.000000
26.389710,0.101110,348.208397,26.389710,1.000000
26.490820,0.202220,350.881772,26.490820,1.000000
26.591930,0.303330,353.565371,26.591930,1.000000
26.693040,0.404440,356.259192,26.693040,1.000000
26.794150,0.505550,358.963237,26.794150,1.000000
26.895260,0.606660,361.677505,26.895260,1.000000
26.996370,0.707770,364.401997,26.996370,1.000000
27.097480,0.808880,367.136711,27.097480,1.000000
27.198590,0.909990,369.881649,27.198590,1.000000
27.299700,1.011100,372.636810,27.299700,1.000000
global_time,t,p,v,a
27.299700,0.000000,372.636810,27.299700,1.000000
27.400810,0.101110,375.402194,27.400810,1.000000
27.501920,0.202220,378.177802,27.501920,1.000000
27.603030,0.303330,380.963633,27.603030,1.000000
27.704140,0.404440,383.759687,27.704140,1.000000
27.805250,0.505550,386.565964,27.805250,1.000000
27.906360,0.606660,389.382464,27.906360,1.000000
28.007470,0.707770,392.209188,28.007470,1.000000
28.108580,0.808880,395.046135,28.108580,1.000000
28.209690,0.909990,397.893305,28.209690,1.000000
28.310800,1.011100,400.750698,28.310800,1.000000
global_time,t,p,v,a
28.310800,0.000000,400.750698,28.310800,1.000000
28.411910,0.101110,403.618315,28.411910,1.000000
28.513020,0.202220,406.496155,28.513020,1.000000
28.614130,0.303330,409.384218,28.614130,1.000000
28.715240,0.404440,412.282504,28.715240,1.000000
28.816350,0.505550,415.191014,28.816350,1.000000
28.917460,0.606660,418.109746,28.917460,1.000000
29.018570,0.707770,421.038702,29.018570,1.000000
29.119680,0.808880,423.977882,29.119680,1.000000
29.220790,0.909990,426.927284,29.220790,1.000000
29.321900,1.011100,429.886910,29.321900,1.000000
global_time,t,p,v,a
29.321900,0.000000,429.886910,29.321900,1.000000
29.423010,0.101110,432.856759,29.423010,1.000000
29.524120,0.202220,435.836831,29.524120,1.000000
29.625230,0.303330,438.827126,29.625230,1.000000
29.726340,0.404440,441.827645,29.726340,1.000000
29.827450,0.505550,444.838387,29.827450,1.000000
29.928560,0.606660,447.859352,29.928560,1.000000
30.029670,0.707770,450.890540,30.029670,1.000000
30.130780,0.808880,453.931952,30.130780,1.000000
30.231890,0.909990,456.983586,30.231890,1.000000
30.333000,1.011100,460.045445,30.333000,1.000000
global_time,t,p,v,a
30.333000,0.000000,460.045445,30.333000,1.000000
30.434110,0.101110,463.117526,30.434110,1.000000
30.535220,0.202220,466.199830,30.535220,1.000000
30.636330,0.303330,469.292358,30.636330,1.000000
30.737440,0.404440,472.395109,30.737440,1.000000
30.838550,0.505550,475.508083,30.838550,1.000000
30.939660,0.606660,478.631280,30.939660,1.000000
31.040770,0.707770,481.764701,31.040770,1.000000
31.141880,0.808880,484.908345,31.141880,1.000000
31.242990,0.909990,488.062212,31.242990,1.000000
31.344100,1.011100,491.226302,31.344100,1.000000
global_time,t,p,v,a
31.344100,0.000000,491.226302,31.344100,1.000000
31.445210,0.101110,494.400616,31.445210,1.000000
31.546320,0.202220,497.585153,31.546320,1.000000
31.647430,0.303330,500.779913,31.647430,1.000000
31.748540,0.404440,503.984896,31.748540,1.000000
31.849650,0.505550,507.200103,31.849650,1.000000
31.950760,0.606660,510.425532,31.950760,1.000000
32.051870,0.707770,513.661185,32.051870,1.000000
32.152980,0.808880,516.907061,32.152980,1.000000
32.254090,0.909990,520.163161,32.254090,1.000000
32.355200,1.011100,523.429484,32.355200,1.000000
global_time,t,p,v,a
32.355200,0.000000,523.429484,32.355200,1.000000
32.456310,0.101110,526.706029,32.456310,1.000000
32.557420,0.202220,529.992799,32.557420,1.000000
32.658530,0.303330,533.289791,32.658530,1.000000
32.759640,0.404440,536.597006,32.759640,1.000000
32.860750,0.505550,539.914445,32.860750,1.000000
32.961860,0.606660,543.242107,32.961860,1.000000
33.062970,0.707770,546.579993,33.062970,1.000000
